experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,coop,top,30,5,0.05244763170638724,0.1635189020432135,0.07801088555933847,0.07236105161980713,0.06716261561552278,0.23941557705583547,1,2,10
1vR,tafeng,top,30,5,0.025100401606425706,0.05120481927710843,0.031067125645438894,0.03232526981641085,0.023405259399235302,0.07228915662650602,1,2,10
1vR,coop,top,30,13,0.03318488814068548,0.26965678546773414,0.05854808746218594,0.048159927602043046,0.06525609393706477,0.37032343152710373,1,2,10
1vR,tafeng,top,30,13,0.02412731177791419,0.06325301204819277,0.030402997270467153,0.03118538897473437,0.024118993161339013,0.08433734939759036,1,2,10
1vR,coop,top,30,6,0.04821077143416482,0.1806538695352024,0.07488912538215496,0.0674183891592936,0.06816040131239043,0.2615993323235758,1,2,10
1vR,tafeng,top,30,6,0.024096385542168672,0.05120481927710843,0.029847963281698222,0.031016217423021106,0.022705758097324363,0.07228915662650602,1,2,10
1vR,coop,top,30,3,0.0664963130111039,0.1238086406396505,0.08460840983792361,0.08708190823117717,0.061906595151317106,0.18697000607915262,1,2,10
1vR,tafeng,top,30,3,0.02610441767068273,0.04216867469879518,0.030722891566265058,0.03312591023434396,0.02154592395556251,0.060240963855421686,1,2,10
1vR,coop,top,30,8,0.04172076082140686,0.20832431764087664,0.06859505173003984,0.059343119815839084,0.06776130052651644,0.2965390044614798,1,2,10
1vR,tafeng,top,30,8,0.023952954675846242,0.0572289156626506,0.02998661311914324,0.03090739591875983,0.02342356438741981,0.0783132530120482,1,2,10
1vR,coop,top,30,15,0.030939749547365978,0.2902022606204857,0.055454586556316285,0.045097013099859806,0.06372768856319297,0.3941145559642669,1,2,10
1vR,tafeng,top,30,15,0.02412731177791419,0.06325301204819277,0.030402997270467153,0.03118538897473437,0.024118993161339013,0.08433734939759036,1,2,10
1vR,coop,top,30,11,0.036004202951901626,0.2473699937147744,0.062195435618204606,0.05194425726620965,0.06668902771441289,0.3443067190092012,1,2,10
1vR,tafeng,top,30,11,0.024211564874215472,0.06325301204819277,0.030546428136789584,0.031306628650418236,0.024260736605704714,0.08433734939759036,1,2,10
1vR,coop,top,30,9,0.03950433153935364,0.2218839190957518,0.06624758918041967,0.056514237873540464,0.06753283693525107,0.3136430610079029,1,2,10
1vR,tafeng,top,30,9,0.023785618665136735,0.0572289156626506,0.02974321528538396,0.030677083442559778,0.023241274140459116,0.0783132530120482,1,2,10
1vR,coop,top,30,12,0.034524692693682815,0.2588224990469125,0.06032081320634995,0.0499686364909665,0.06601987353007414,0.35780449857294466,1,2,10
1vR,tafeng,top,30,12,0.024165927780385614,0.06325301204819277,0.030469196131846735,0.03124106025438513,0.024185435400885434,0.08433734939759036,1,2,10
