experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score
1vR,coop,top,30,8,0.2666473800251386,0.2637695042247316,0.23296164175121625,0.29331582903112974,0.1437704590077817,0.8148668333658143
1vR,tafeng,top,30,8,0.10022174814421796,0.06594111389796417,0.06487869281066375,0.09099816402671508,0.037524047150844814,0.21732177860311566
1vR,coop,top,30,3,0.3501501283275143,0.14065268323872088,0.17809870603613162,0.2859503298638148,0.09024519123655271,0.6630283972108172
1vR,tafeng,top,30,3,0.1059613466762956,0.055702120534042374,0.06198927010448846,0.0916648068363616,0.0338475641182258,0.1911173011451563
1vR,coop,top,30,5,0.3068803366574068,0.19685534022460452,0.21078734500266125,0.29813035682414313,0.11748339215247348,0.7504016964996482
1vR,tafeng,top,30,5,0.10204872932356683,0.062309140548786515,0.06425461112060166,0.09158259388164353,0.03641663648972172,0.2096358196636748
1vR,coop,top,30,6,0.2911406912179057,0.22086358742041526,0.22045979068591864,0.2979402654153077,0.1276363084232011,0.7771297577797524
1vR,tafeng,top,30,6,0.10106520169194264,0.06384833747593115,0.0645292537622186,0.09126214168061805,0.036905976016590174,0.2128340039203549
1vR,coop,top,30,11,0.24014987298850402,0.31930754633603753,0.24195227704448044,0.282448263145478,0.16106927486673278,0.8505652025989212
1vR,tafeng,top,30,11,0.0994126017957649,0.06689281629128395,0.06475439868783897,0.09044439088604228,0.037688418186400105,0.21964304137006088
1vR,coop,top,30,9,0.2568579267007164,0.2833909729592529,0.23701744171615652,0.2900681042690597,0.15034599760748685,0.8288095765026872
1vR,tafeng,top,30,9,0.09984991623803137,0.06626376328904657,0.06478970084539941,0.090729400572079,0.03756224444708373,0.2181987000928505
1vR,coop,top,20,4,0.3209123274176897,0.16756556799426256,0.19414106654957436,0.2903932507267266,0.103555232596903,0.7080891183082868
1vR,tafeng,top,20,4,0.11102805763189254,0.05374125712105841,0.0609493036266201,0.0920993747150268,0.03283012638727969,0.1836854078648034
1vR,coop,top,20,2,0.3773217645971566,0.10442600185464455,0.14711501702394697,0.260198707046858,0.06991969566640752,0.5753876104971242
1vR,tafeng,top,20,2,0.1154371140721482,0.04611687209679433,0.05719418681701152,0.09063357137613656,0.029441428312482875,0.16184595385115372
